,name,type,x_coord,y_coord,time,means
0,R12,rider,3.2623311693355825,3.8946021673363136,17.0,Foot
1,R12,rider,3.316377324925663,3.854138367051409,18.0,Foot
2,R12,rider,3.370423480515743,3.8136745667665046,19.0,Foot
3,R12,rider,3.4244696361058233,3.7732107664816,20.0,Foot
4,R12,rider,3.4785157916959037,3.7327469661966957,21.0,Foot
5,R12,rider,3.5325619472859837,3.692283165911791,22.0,Foot
6,R12,rider,3.586608102876064,3.6518193656268867,23.0,Foot
7,R12,rider,3.6406542584661445,3.6113555653419818,24.0,Foot
8,R12,rider,3.6947004140562245,3.5708917650570773,25.0,Foot
9,R12,rider,3.748746569646305,3.530427964772173,26.0,Foot
10,R12,rider,3.802792725236385,3.4899641644872683,27.0,Foot
11,R12,rider,3.8568388808264653,3.449500364202364,28.0,Foot
12,R12,rider,3.9108850364165457,3.4090365639174594,29.0,Foot
13,R12,rider,3.9649311920066257,3.368572763632555,30.0,Foot
14,R12,rider,4.0189773475967066,3.3281089633476504,31.0,Foot
15,R12,rider,4.0730235031867865,3.287645163062746,32.0,Foot
16,R12,rider,4.1270696587768665,3.2471813627778414,33.0,Foot
17,R12,rider,4.1811158143669465,3.206717562492937,34.0,Foot
18,R12,rider,4.235161969957027,3.166253762208032,35.0,Foot
19,R12,rider,4.289208125547107,3.125789961923128,36.0,Foot
20,R12,rider,4.343254281137188,3.085326161638223,37.0,Foot
21,R12,rider,4.397300436727268,3.044862361353319,38.0,Foot
22,R12,rider,4.451346592317348,3.004398561068414,39.0,Foot
23,R12,rider,4.505392747907428,2.96393476078351,40.0,Foot
24,R12,rider,4.559438903497509,2.923470960498605,41.0,Foot
25,R12,rider,4.613485059087589,2.8830071602137006,42.0,Foot
26,R12,rider,4.667531214677669,2.842543359928796,43.0,Foot
27,R12,rider,4.72157737026775,2.8020795596438917,44.0,Foot
28,R125,rider,3.282929458852398,2.711415112742692,76.0,Foot
29,R125,rider,3.2517379508504223,2.7727805239167793,77.0,Foot
30,R125,rider,3.2205464428484465,2.8341459350908664,78.0,Foot
31,R125,rider,3.1893549348464703,2.8955113462649535,79.0,Foot
32,R125,rider,3.1581634268444945,2.956876757439041,80.0,Foot
33,R125,rider,3.1269719188425187,3.018242168613128,81.0,Foot
34,R125,rider,3.095780410840543,3.0796075797872153,82.0,Foot
35,R125,rider,3.0645889028385667,3.1409729909613024,83.0,Foot
36,R125,rider,3.033397394836591,3.2023384021353896,84.0,Foot
37,R125,rider,3.002205886834615,3.263703813309477,85.0,Foot
38,R125,rider,2.9710143788326393,3.3250692244835642,86.0,Foot
39,R125,rider,2.939822870830663,3.3864346356576513,87.0,Foot
40,R125,rider,2.9086313628286873,3.4478000468317385,88.0,Foot
41,R125,rider,2.8774398548267115,3.5091654580058256,89.0,Foot
42,R125,rider,2.8462483468247357,3.5705308691799127,90.0,Foot
43,R125,rider,2.81505683882276,3.6318962803540003,91.0,Foot
44,R125,rider,2.7838653308207837,3.6932616915280874,92.0,Foot
45,R125,rider,2.752673822818808,3.754627102702174,93.0,Foot
46,R125,rider,2.721482314816832,3.8159925138762616,94.0,Carpool
